Approvers, 1443,
Dept/Loc,User ID,Appr Level
310000,TDALY,00
313000,TDALY,00
320000,TDALY,00
330000,TDALY,00
430000,TDALY,00
620000,TDALY,00
630000,TDALY,00
640000,TDALY,00
673000,TDALY,00
674000,TDALY,00
700000,TDALY,00
710000,TDALY,00
730000,TDALY,00
780000,TDALY,00
330000,MBAMONTE,00
239000,MBIANCHI,00
209000,MBURROWS,00
320000,MCANTOR,00
239000,MCRAVEN,00
310000,MCROWLEY,00
239000,MHECKER,00
135000,MMCDOWELL,00
209000,MSAVAGE,00
204000,MSILVA,00
673000,MSNOW,00
804000,MWHALEN,00
210000,NCADIGAN,00
231000,NORTIZ,00
240000,OSANCHEZ,00
290000,PBALCOM,00
310000,PBARE,00
290000,PFITZGERALD,00
795000,PHENNIGAN,00
804000,RCARIUS,00
100000,RCOMBS,00
239000,RDACEY,00
100000,REQWF100000,00
100000,REQWF101002,00
115000,REQWF112002,00
115000,REQWF115000,00
118000,REQWF118000,00
160000,REQWF160000,00
160000,REQWF161002,00
204000,REQWF204000,00
210000,REQWF210000,00
231000,REQWF231000,00
238000,REQWF238000,00
239000,REQWF239000,00
250000,REQWF250000,00
280000,REQWF280000,00
310000,REQWF310000,00
630000,REQWF630000,00
640000,REQWF640000,00
671000,REQWF671000,00
672000,REQWF672000,00
673000,REQWF673000,00
674000,REQWF674000,00
860000,REQWF860000,00
224000,RHALEY,00
310000,SBARROS,00
204000,SBULLOCK,00
239000,SCLARK,00
320000,SCRENAULT,00
430000,SDENICOLA,00
620000,SGARCIA2,00
673000,SKERINS,00
224000,SNETH,00
430000,SNWILLIAMS,00
205000,SOLEARY,00
120000,SSUPPAPINIJCHAI,00
700000,STAYLOR,00
673000,TAVELINO,00
330000,TLOGAN,00
780000,VRWILSON,00
238000,WCAMERON,00
673000,WFALLON,00
221000,WIOVEN,00
239000,WMAHAR,00
239000,WPELLEGRINE,00
224000,WWALSH,00
330000,WZIMMER,00
310000,YDUVERGE,00
172000,YPOULAKOS,00
100000,GSPAZIANI,00
102000,GSPAZIANI,00
106000,GSPAZIANI,00
110000,GSPAZIANI,00
115000,GSPAZIANI,00
118000,GSPAZIANI,00
120000,GSPAZIANI,00
135000,GSPAZIANI,00
155000,GSPAZIANI,00
160000,GSPAZIANI,00
170000,GSPAZIANI,00
172000,GSPAZIANI,00
204000,GSPAZIANI,00
205000,GSPAZIANI,00
208000,GSPAZIANI,00
209000,GSPAZIANI,00
210000,GSPAZIANI,00
240000,GSPAZIANI,00
290000,GSPAZIANI,00
310000,GSPAZIANI,00
313000,GSPAZIANI,00
320000,GSPAZIANI,00
330000,GSPAZIANI,00
430000,GSPAZIANI,00
620000,GSPAZIANI,00
630000,GSPAZIANI,00
640000,GSPAZIANI,00
673000,GSPAZIANI,00
674000,GSPAZIANI,00
700000,GSPAZIANI,00
710000,GSPAZIANI,00
730000,GSPAZIANI,00
780000,GSPAZIANI,00
100000,LDETHCHAN,00
102000,LDETHCHAN,00
106000,LDETHCHAN,00
110000,LDETHCHAN,00
115000,LDETHCHAN,00
118000,LDETHCHAN,00
120000,LDETHCHAN,00
135000,LDETHCHAN,00
155000,LDETHCHAN,00
160000,LDETHCHAN,00
170000,LDETHCHAN,00
172000,LDETHCHAN,00
204000,LDETHCHAN,00
205000,LDETHCHAN,00
208000,LDETHCHAN,00
209000,LDETHCHAN,00
210000,LDETHCHAN,00
240000,LDETHCHAN,00
290000,LDETHCHAN,00
310000,LDETHCHAN,00
313000,LDETHCHAN,00
320000,LDETHCHAN,00
330000,LDETHCHAN,00
430000,LDETHCHAN,00
620000,LDETHCHAN,00
630000,LDETHCHAN,00
640000,LDETHCHAN,00
673000,LDETHCHAN,00
674000,LDETHCHAN,00
700000,LDETHCHAN,00
710000,LDETHCHAN,00
730000,LDETHCHAN,00
780000,LDETHCHAN,00
100000,PBEATTY,00
102000,PBEATTY,00
106000,PBEATTY,00
110000,PBEATTY,00
115000,PBEATTY,00
118000,PBEATTY,00
120000,PBEATTY,00
135000,PBEATTY,00
155000,PBEATTY,00
160000,PBEATTY,00
170000,PBEATTY,00
172000,PBEATTY,00
204000,PBEATTY,00
205000,PBEATTY,00
208000,PBEATTY,00
209000,PBEATTY,00
210000,PBEATTY,00
240000,PBEATTY,00
290000,PBEATTY,00
310000,PBEATTY,00
313000,PBEATTY,00
320000,PBEATTY,00
330000,PBEATTY,00
430000,PBEATTY,00
620000,PBEATTY,00
630000,PBEATTY,00
640000,PBEATTY,00
673000,PBEATTY,00
674000,PBEATTY,00
700000,PBEATTY,00
710000,PBEATTY,00
730000,PBEATTY,00
780000,PBEATTY,00
100000,CDECOSTE,00
102000,CDECOSTE,00
106000,CDECOSTE,00
110000,CDECOSTE,00
115000,CDECOSTE,00
118000,CDECOSTE,00
120000,CDECOSTE,00
135000,CDECOSTE,00
155000,CDECOSTE,00
160000,CDECOSTE,00
170000,CDECOSTE,00
172000,CDECOSTE,00
204000,CDECOSTE,00
205000,CDECOSTE,00
208000,CDECOSTE,00
209000,CDECOSTE,00
210000,CDECOSTE,00
240000,CDECOSTE,00
290000,CDECOSTE,00
310000,CDECOSTE,00
313000,CDECOSTE,00
320000,CDECOSTE,00
330000,CDECOSTE,00
430000,CDECOSTE,00
620000,CDECOSTE,00
630000,CDECOSTE,00
640000,CDECOSTE,00
673000,CDECOSTE,00
674000,CDECOSTE,00
700000,CDECOSTE,00
710000,CDECOSTE,00
730000,CDECOSTE,00
780000,CDECOSTE,00
100000,JKEARNEY,00
102000,JKEARNEY,00
106000,JKEARNEY,00
110000,JKEARNEY,00
115000,JKEARNEY,00
118000,JKEARNEY,00
120000,JKEARNEY,00
135000,JKEARNEY,00
155000,JKEARNEY,00
160000,JKEARNEY,00
170000,JKEARNEY,00
172000,JKEARNEY,00
204000,JKEARNEY,00
205000,JKEARNEY,00
208000,JKEARNEY,00
209000,JKEARNEY,00
210000,JKEARNEY,00
240000,JKEARNEY,00
290000,JKEARNEY,00
310000,JKEARNEY,00
313000,JKEARNEY,00
320000,JKEARNEY,00
330000,JKEARNEY,00
430000,JKEARNEY,00
620000,JKEARNEY,00
630000,JKEARNEY,00
640000,JKEARNEY,00
673000,JKEARNEY,00
674000,JKEARNEY,00
700000,JKEARNEY,00
710000,JKEARNEY,00
730000,JKEARNEY,00
780000,JKEARNEY,00
100000,TDALY,00
102000,TDALY,00
106000,TDALY,00
110000,TDALY,00
115000,TDALY,00
118000,TDALY,00
120000,TDALY,00
135000,TDALY,00
155000,TDALY,00
160000,TDALY,00
170000,TDALY,00
172000,TDALY,00
204000,TDALY,00
205000,TDALY,00
208000,TDALY,00
209000,TDALY,00
210000,TDALY,00
240000,TDALY,00
290000,TDALY,00
310000,TDALY,00
313000,TDALY,00
320000,TDALY,00
330000,TDALY,00
430000,TDALY,00
620000,TDALY,00
630000,TDALY,00
640000,TDALY,00
673000,TDALY,00
674000,TDALY,00
700000,TDALY,00
710000,TDALY,00
730000,TDALY,00
780000,TDALY,00
100000,EWAARAMAA,00
102000,EWAARAMAA,00
106000,EWAARAMAA,00
110000,EWAARAMAA,00
115000,EWAARAMAA,00
118000,EWAARAMAA,00
120000,EWAARAMAA,00
135000,EWAARAMAA,00
155000,EWAARAMAA,00
160000,EWAARAMAA,00
170000,EWAARAMAA,00
172000,EWAARAMAA,00
204000,EWAARAMAA,00
205000,EWAARAMAA,00
208000,EWAARAMAA,00
209000,EWAARAMAA,00
210000,EWAARAMAA,00
240000,EWAARAMAA,00
290000,EWAARAMAA,00
310000,EWAARAMAA,00
313000,EWAARAMAA,00
320000,EWAARAMAA,00
330000,EWAARAMAA,00
430000,EWAARAMAA,00
620000,EWAARAMAA,00
630000,EWAARAMAA,00
640000,EWAARAMAA,00
673000,EWAARAMAA,00
674000,EWAARAMAA,00
700000,EWAARAMAA,00
710000,EWAARAMAA,00
730000,EWAARAMAA,00
780000,EWAARAMAA,00
100000,KYU,00
310000,FPECANHA,00
730000,GDIMAMBRO,00
239000,GIENTILE,00
430000,GORAVEC,00
320000,GTAMMARO,00
320000,HCOOPER,00
320000,HLIM,00
671000,JASULLIVAN,00
239000,JGARCIA,00
118000,JHENRY,00
673000,JKEADY,00
239000,JLADD,00
672000,JMACEACHERN,00
239000,JMCHUGH,00
209000,JMENJIN,00
239000,JMONFILS,00
239000,JMURRAY2,00
239000,JORTIZ,00
700000,JRICHARDS1,00
330000,JRUSH,00
630000,JSANS,00
239000,JSILVA,00
310000,JSWARTZ,00
135000,JUNIECELESTIN,00
320000,KBENDERY,00
239000,KBRENNAN,00
102000,KECHOLS,00
209000,KKALLENBERG,00
208000,KKEUNG,00
400000,KMCHUGH2,00
239000,KMIRANDA,00
209000,KONEIL,00
210000,KROYSTON,00
240000,KRYSSMAN,00
118000,KWALLACE,00
118000,KWILLIS,00
235000,LARMSTRONG,00
674000,LBARRETT,00
155000,LBAXTER,00
320000,LDRAYTON-OLIVER,00
320000,LKRAVCHENKO,00
209000,LLARACY,00
221000,LMCAVOY,00
209000,LNONG,00
430000,GORAVEC,00
320000,GTAMMARO,00
320000,HCOOPER,00
320000,HLIM,00
671000,JASULLIVAN,00
239000,JGARCIA,00
118000,JHENRY,00
673000,JKEADY,00
239000,JLADD,00
672000,JMACEACHERN,00
239000,JMCHUGH,00
209000,JMENJIN,00
239000,JMONFILS,00
239000,JMURRAY2,00
239000,JORTIZ,00
700000,JRICHARDS1,00
630000,JSANS,00
239000,JSILVA,00
310000,JSWARTZ,00
135000,JUNIECELESTIN,00
320000,KBENDERY,00
239000,KBRENNAN,00
102000,KECHOLS,00
209000,KKALLENBERG,00
208000,KKEUNG,00
400000,KMCHUGH2,00
239000,KMIRANDA,00
209000,KONEIL,00
210000,KROYSTON,00
240000,KRYSSMAN,00
118000,KWALLACE,00
118000,KWILLIS,00
235000,LARMSTRONG,00
155000,LBAXTER,00
320000,LDRAYTON-OLIVER,00
320000,LKRAVCHENKO,00
209000,LLARACY,00
221000,LMCAVOY,00
209000,LNONG,00
110000,LRADOSTA,00
620000,LRIEGEL,00
110000,LSERRANO,00
239000,LWILKINS,00
700000,MAMADO,00
110000,LRADOSTA,00
620000,LRIEGEL,00
110000,LSERRANO,00
239000,LWILKINS,00
700000,MAMADO,00
330000,MBAMONTE,00
239000,MBIANCHI,00
209000,MBURROWS,00
320000,MCANTOR,00
239000,MCRAVEN,00
310000,MCROWLEY,00
239000,MHECKER,00
135000,MMCDOWELL,00
209000,MSAVAGE,00
204000,MSILVA,00
673000,MSNOW,00
804000,MWHALEN,00
400000,NAIGUIER,00
210000,NCADIGAN,00
231000,NORTIZ,00
240000,OSANCHEZ,00
290000,PBALCOM,00
310000,PBARE,00
290000,PFITZGERALD,00
795000,PHENNIGAN,00
804000,RCARIUS,00
100000,RCOMBS,00
239000,RDACEY,00
100000,REQWF100000,00
100000,REQWF101002,00
115000,REQWF112002,00
115000,REQWF115000,00
118000,REQWF118000,00
160000,REQWF160000,00
160000,REQWF161002,00
204000,REQWF204000,00
210000,REQWF210000,00
231000,REQWF231000,00
238000,REQWF238000,00
239000,REQWF239000,00
250000,REQWF250000,00
280000,REQWF280000,00
310000,REQWF310000,00
630000,REQWF630000,00
640000,REQWF640000,00
671000,REQWF671000,00
672000,REQWF672000,00
673000,REQWF673000,00
674000,REQWF674000,00
860000,REQWF860000,00
224000,RHALEY,00
310000,SBARROS,00
204000,SBULLOCK,00
239000,SCLARK,00
320000,SCRENAULT,00
430000,SDENICOLA,00
620000,SGARCIA2,00
673000,SKERINS,00
224000,SNETH,00
430000,SNWILLIAMS,00
205000,SOLEARY,00
120000,SSUPPAPINIJCHAI,00
700000,STAYLOR,00
673000,TAVELINO,00
330000,TLOGAN,00
780000,VRWILSON,00
238000,WCAMERON,00
673000,WFALLON,00
221000,WIOVEN,00
239000,WMAHAR,00
239000,WPELLEGRINE,00
224000,WWALSH,00
330000,WZIMMER,00
310000,YDUVERGE,00
172000,YPOULAKOS,00
